Air_Temperature,Process_Temperature,Rotational_Speed,Torque,Tool_wear,Operation
298.06,306.7,1568.45,27.57,4.58,0
298.82,310.16,1413.0,26.1,4.62,0
298.97,306.92,976.6,26.01,4.67,1
298.08,308.99,1353.81,23.96,4.71,0
300.75,309.75,1588.37,23.05,4.76,0
298.85,306.86,1408.65,26.8,4.84,1
299.78,307.57,1281.37,26.08,4.88,1
301.36,311.71,1338.15,26.58,4.93,0
298.29,308.33,1239.38,27.51,4.96,0
299.4,312.05,2030.21,16.31,5.02,1
304.32,315.57,1592.49,25.19,5.07,0
301.75,312.61,1315.95,28.39,5.12,0
297.41,306.1,1799.51,21.66,5.18,0
299.84,309.96,1639.74,24.01,5.22,0
301.13,311.29,1476.67,19.67,5.28,0
302.47,309.98,1084.1,33.08,5.33,1
300.3,310.82,1201.61,27.77,5.37,0
298.94,311.12,2037.95,15.2,5.43,1
298.54,308.88,1826.56,22.12,5.46,1
301.29,313.53,1347.19,24.62,5.51,0
300.63,310.26,1416.6,23.56,5.56,0
298.97,306.52,1437.97,26.77,5.61,1
299.62,309.42,1108.64,30.11,5.65,1
299.17,311.46,1460.22,25.23,5.71,0
301.45,312.41,908.4,26.52,5.77,1
298.62,309.67,1399.19,23.84,5.82,0
300.97,312.01,1412.06,29.72,5.86,0
301.7,310.75,1088.75,31.25,5.92,1
300.97,309.84,1549.89,24.18,5.97,0
298.33,310.4,1780.12,21.98,6.01,0
302.69,311.92,836.13,32.16,6.06,1
298.64,309.62,1208.11,27.41,6.1,0
300.85,313.03,1311.15,26.89,6.15,0
298.49,307.94,1377.69,25.05,6.19,0
296.51,307.02,1269.64,28.33,6.23,0
300.45,311.45,1077.98,33.63,6.26,1
300.57,310.51,1649.64,25.94,6.33,0
299.85,311.45,1370.24,27.29,6.39,0
300.55,310.61,1604.26,25.62,6.44,0
298.7,310.01,1454.13,21.34,6.49,0
298.53,311.57,1450.8,30.29,6.54,0
299.66,308.53,1658.94,22.83,6.59,0
303.82,312.61,2034.31,21.79,6.64,1
301.63,309.71,1498.07,25.42,6.7,1
298.96,308.26,762.74,33.02,6.76,1
301.12,311.24,1363.81,25.8,6.81,0
299.04,306.75,1105.08,26.86,6.86,1
299.09,307.18,1356.61,23.68,6.9,1
301.72,311.43,1166.21,29.64,6.93,1
298.95,310.91,1418.53,27.01,6.98,0
296.65,305.01,1493.3,25.75,7.04,1
298.19,308.18,1498.27,29.0,7.1,0
300.18,309.59,1425.03,23.01,7.16,0
300.26,310.18,1412.41,25.34,7.2,0
302.48,310.13,1434.63,28.47,7.27,1
298.57,306.96,1828.55,26.39,7.33,1
301.46,309.95,1711.53,21.35,7.38,1
300.85,308.14,1209.15,30.24,7.44,1
299.7,310.96,1932.15,24.24,7.48,1
301.67,311.99,2070.34,20.85,7.53,1
300.98,310.54,1494.42,25.77,7.58,0
298.28,311.15,1357.11,24.04,7.66,0
302.14,307.73,1337.05,27.03,7.73,1
297.56,306.43,1856.62,22.53,7.76,1
300.12,311.12,1075.8,26.54,7.83,1
300.0,310.27,1926.78,20.3,7.89,1
300.85,309.16,1967.49,21.62,7.94,1
298.55,307.91,1567.85,24.88,7.99,0
299.93,310.87,1112.11,32.21,8.04,1
299.72,307.67,1767.13,25.63,8.09,1
301.99,314.29,904.46,29.9,8.16,1
298.41,305.69,1676.99,23.45,8.2,1
300.15,306.9,1458.87,23.09,8.26,1
299.48,309.47,1621.58,25.99,8.32,0
297.4,307.3,1620.57,23.65,8.35,0
305.35,316.78,1722.46,24.04,8.41,0
299.86,312.1,1367.9,25.71,8.46,0
297.03,307.23,1848.31,16.93,8.51,1
302.82,313.7,1250.16,27.8,8.58,0
297.86,307.47,1353.64,21.83,8.62,0
300.74,312.44,1165.1,32.43,8.67,1
301.73,310.34,1409.32,28.4,8.73,0
298.7,310.92,1633.79,23.78,8.78,0
299.14,307.49,1697.52,21.64,8.84,1
298.92,306.78,1154.19,27.65,8.87,1
299.74,310.41,1497.06,22.97,8.91,0
296.76,306.61,1071.53,34.44,8.96,1
297.53,308.28,1468.63,28.08,9.0,0
299.72,308.61,2074.56,24.31,9.03,1
302.08,311.97,899.79,35.12,9.06,1
301.26,310.63,1192.06,28.74,9.12,1
303.46,314.68,1346.36,25.39,9.17,0
301.39,312.21,1091.1,29.99,9.23,1
298.98,309.07,1385.44,26.36,9.28,0
299.75,310.03,1145.73,29.17,9.34,1
295.94,306.1,1426.77,25.15,9.4,0
298.08,309.47,1014.79,29.05,9.45,1
297.96,306.27,1305.5,26.03,9.51,1
300.54,311.44,1450.96,26.68,9.58,0
301.3,310.24,1820.74,18.54,9.63,1
298.88,310.8,1303.06,29.01,9.68,0
298.82,306.96,1974.85,19.71,9.73,1
296.91,306.58,1373.82,23.65,9.78,0
299.74,308.86,1245.72,26.74,9.84,0
300.5,310.98,1922.57,17.6,9.9,1
300.89,310.38,1290.07,26.46,9.95,0
298.43,310.05,1845.52,22.13,9.99,1
303.98,313.58,1305.26,26.7,10.04,0
302.39,314.39,1798.3,20.69,10.1,0
299.81,308.61,1012.09,31.18,10.16,1
298.95,309.17,1306.75,24.93,10.22,0
299.36,310.33,1369.6,25.9,10.26,0
300.3,307.62,1460.59,29.93,10.31,1
299.96,312.44,1414.79,22.08,10.37,0
300.97,313.42,1567.5,23.63,10.4,0
301.54,310.09,1147.79,30.79,10.44,1
302.73,313.69,1914.14,23.99,10.51,1
302.29,311.64,1430.06,26.53,10.55,0
299.78,308.51,1256.12,30.47,10.6,0
300.78,310.62,1144.78,29.98,10.65,1
299.23,309.91,1526.64,22.8,10.7,0
298.83,311.29,1576.67,20.77,10.75,0
303.82,315.23,1238.4,28.06,10.8,0
299.08,307.41,1200.73,27.35,10.87,1
303.98,313.59,874.01,31.25,10.91,1
299.3,311.72,1596.63,24.52,10.97,0
300.51,311.41,1815.32,21.23,11.03,1
302.18,313.08,1354.96,25.39,11.08,0
300.05,311.68,1261.38,28.7,11.13,0
300.79,309.04,902.55,27.95,11.19,1
299.52,309.93,1445.43,23.78,11.23,0
299.05,310.58,1351.11,24.6,11.29,0
299.67,310.9,1309.95,29.02,11.33,0
298.7,307.82,1344.29,25.48,11.37,0
303.26,313.54,1019.79,29.27,11.41,1
299.66,308.34,1366.1,28.07,11.45,0
303.45,315.27,1254.34,28.51,11.5,0
294.63,306.59,1067.62,25.9,11.57,1
300.04,309.74,1391.32,25.05,11.63,0
301.12,310.42,1347.77,26.92,11.68,0
299.41,310.13,2075.83,18.75,11.71,1
302.19,313.44,1018.92,31.6,11.75,1
301.28,308.17,1177.45,25.66,11.78,1
299.45,311.74,1250.12,26.76,11.82,0
300.87,313.28,1313.7,26.03,11.88,0
305.62,317.01,1484.36,22.26,11.94,0
300.5,310.68,1081.34,31.38,12.01,1
300.6,309.78,1391.29,26.21,12.05,0
299.12,313.58,420.62,33.12,12.07,1
300.27,308.92,1076.38,27.92,12.12,1
297.42,306.78,1465.35,22.37,12.17,0
299.6,310.26,1482.38,25.12,12.21,0
304.92,315.64,1218.86,28.98,12.27,0
302.13,314.03,1300.91,28.62,12.31,0
301.28,313.64,1188.65,26.37,12.36,1
302.21,312.2,1292.24,29.67,12.4,0
303.76,314.39,1206.31,26.77,12.47,0
301.19,311.67,1753.82,26.35,12.53,0
304.14,315.24,1373.67,27.01,12.57,0
302.14,313.49,1411.47,27.49,12.62,0
300.33,307.0,691.24,32.56,12.68,1
303.44,313.54,1164.74,29.75,12.73,1
295.28,307.18,1137.6,32.56,12.76,1
298.86,306.68,1301.48,25.95,12.82,1
300.53,310.86,1734.94,23.4,12.88,0
298.18,307.8,809.32,32.16,12.91,1
299.69,312.2,1799.74,18.98,12.96,0
298.72,307.51,1516.82,24.3,12.99,0
298.69,305.48,1314.37,24.34,13.03,1
305.42,316.53,913.11,31.47,13.08,1
301.25,310.28,1603.49,22.31,13.12,0
299.89,306.86,1717.91,21.17,13.17,1
302.63,313.53,1686.22,19.84,13.23,0
299.53,309.72,1322.8,29.44,13.29,0
301.77,313.02,1288.59,27.9,13.33,0
300.7,308.04,1301.86,24.88,13.37,1
303.25,313.76,935.31,33.08,13.41,1
297.16,302.87,1565.36,24.88,13.45,1
301.53,312.06,1682.68,21.98,13.53,0
300.24,310.5,1165.68,26.4,13.58,1
297.69,307.69,1733.69,23.07,13.63,0
302.13,311.17,1483.65,23.95,13.68,0
298.26,310.98,1354.71,24.98,13.73,0
303.24,311.01,578.54,34.57,13.79,1
301.03,312.16,1432.51,26.36,13.82,0
301.39,310.28,1449.11,22.17,13.86,0
300.16,309.13,1280.44,24.36,13.91,0
301.81,309.85,1753.13,19.39,13.97,1
296.27,305.81,1674.75,21.98,14.02,0
300.15,309.2,1138.43,27.15,14.05,1
298.74,307.58,1075.59,34.74,14.09,1
300.57,309.54,1922.02,18.92,14.15,1
299.91,311.52,1656.75,22.54,14.19,0
301.23,311.11,1095.24,30.97,14.25,1
298.32,310.36,1637.82,20.79,14.3,0
303.68,312.59,1298.89,24.06,14.35,0
304.63,317.01,1506.34,24.28,14.41,0
299.58,308.3,763.33,30.49,14.44,1
299.97,311.72,945.3,28.53,14.49,1
300.58,308.26,2141.06,15.24,14.54,1
302.53,308.34,1122.67,29.85,14.58,1
303.79,316.34,1357.18,28.02,14.63,0
297.59,307.94,1934.49,20.28,14.67,1
298.77,309.78,1630.41,25.25,14.72,0
297.88,310.79,1532.39,26.48,14.77,0
297.77,307.46,1293.31,32.08,14.81,0
296.72,307.37,895.47,31.15,14.87,1
300.73,307.92,1107.29,30.25,14.9,1
297.68,308.26,1261.66,29.0,14.97,0
303.01,310.98,1786.4,22.92,15.03,1
301.82,309.6,1873.72,22.6,15.07,1
297.94,309.18,1168.92,27.89,15.11,1
297.94,307.78,1298.02,26.72,15.18,0
298.78,309.84,1785.79,20.11,15.24,0
302.8,311.12,1244.24,22.87,15.3,1
298.3,306.0,1612.36,24.85,15.35,1
297.01,306.54,1302.88,22.56,15.4,0
299.9,310.48,1143.42,27.72,15.43,1
300.75,308.82,969.31,29.99,15.52,1
298.69,309.7,1581.21,21.82,15.56,0
303.24,313.07,1869.37,22.49,15.62,1
300.48,307.78,1180.97,30.38,15.66,1
300.91,309.72,1188.71,24.67,15.72,1
298.29,305.55,1657.45,24.94,15.77,1
299.92,310.4,1819.14,21.3,15.82,1
299.69,309.48,1407.05,26.43,15.87,0
295.46,303.94,1589.24,23.86,15.92,1
300.58,308.35,919.89,29.36,15.96,1
296.41,307.48,1127.8,31.01,16.03,1
299.94,310.42,1357.04,28.92,16.07,0
297.05,305.38,1393.05,23.7,16.11,1
304.04,313.4,1762.66,24.48,16.16,0
300.65,308.86,985.4,34.77,16.21,1
301.72,312.78,1368.09,26.3,16.26,0
301.84,311.21,1560.58,22.64,16.29,0
297.35,308.79,1406.13,22.6,16.34,0
295.44,305.22,1115.73,28.09,16.38,1
299.34,310.27,1634.74,27.39,16.42,0
301.79,310.71,1226.13,26.74,16.48,0
300.18,310.13,1138.23,29.11,16.53,1
301.57,312.03,1694.32,21.31,16.58,0
301.87,310.64,1635.09,23.3,16.62,0
297.02,304.81,1660.38,21.61,16.65,1
300.58,311.77,1387.63,26.17,16.7,0
303.93,312.46,1401.13,26.62,16.76,1
298.86,311.6,1124.56,31.57,16.8,1
295.94,306.34,1349.74,26.72,16.85,0
299.54,310.41,2257.54,16.7,16.9,1
299.07,306.75,1501.64,27.7,16.94,1
300.84,310.69,1343.18,29.51,17.02,0
298.22,306.54,1158.86,29.97,17.05,1
300.18,309.02,1463.46,26.54,17.1,0
295.57,307.04,817.54,28.06,17.15,1
301.71,309.07,1142.58,32.91,17.19,1
303.17,313.55,1458.36,22.63,17.24,0
302.6,313.73,1018.04,24.76,17.28,1
296.97,308.77,1640.19,23.29,17.34,0
300.64,308.17,1259.81,29.48,17.39,1
294.03,303.56,1311.91,20.54,17.44,0
300.57,310.62,966.26,31.04,17.48,1
299.87,308.83,1694.28,21.49,17.54,0
298.01,307.63,1604.82,24.15,17.59,0
300.69,309.4,1125.04,27.71,17.64,1
300.28,309.06,1130.87,28.39,17.7,1
301.88,311.94,1415.91,22.34,17.75,0
300.25,308.91,1566.14,26.72,17.8,0
300.47,309.41,1709.41,20.86,17.85,0
296.11,307.34,1410.75,27.78,17.89,0
297.68,308.34,1535.22,25.37,17.94,0
299.05,308.51,993.23,31.05,17.97,1
300.59,309.45,1080.41,29.01,18.03,1
299.99,312.41,1241.6,26.52,18.07,0
303.0,311.33,1793.18,23.21,18.12,1
298.26,307.5,1220.46,31.02,18.16,0
299.52,310.9,2001.83,16.73,18.23,1
300.51,310.8,1707.12,21.09,18.27,0
299.54,309.89,1924.85,21.43,18.31,1
300.99,311.96,1404.89,26.8,18.36,0
298.86,308.36,909.93,28.42,18.41,1
302.84,309.33,1275.28,27.35,18.46,1
299.36,308.79,1970.81,21.99,18.5,1
302.23,311.76,1321.67,28.98,18.55,0
299.94,310.63,1793.42,21.85,18.59,0
302.98,314.0,1008.27,30.71,18.65,1
297.2,305.67,1798.81,21.85,18.71,1
301.03,312.22,2040.49,15.39,18.76,1
299.13,311.37,1820.37,18.93,18.82,1
300.46,311.68,1898.5,21.09,18.88,1
302.39,314.01,1457.64,23.42,18.94,0
297.72,305.53,1144.23,25.79,18.99,1
297.36,308.21,1533.43,20.91,19.04,0
298.0,305.96,1374.94,25.27,19.11,1
300.51,310.41,1312.88,26.35,19.14,0
296.23,304.61,1457.95,25.31,19.2,1
300.19,309.61,1700.34,23.73,19.26,0
297.43,308.89,1008.87,26.42,19.32,1
297.71,309.72,1273.81,29.38,19.37,0
299.26,308.62,1629.22,22.32,19.42,0
300.76,310.62,1249.37,27.84,19.46,0
298.75,306.76,1296.18,27.22,19.51,1
299.02,309.82,1402.09,26.84,19.56,0
299.92,311.42,1561.46,25.13,19.61,0
299.45,308.63,1439.34,21.28,19.67,0
294.65,304.51,1192.41,24.4,19.73,1
299.14,308.74,1115.94,28.63,19.78,1
300.17,309.48,1277.74,26.6,19.82,0
302.2,311.66,1103.62,28.43,19.89,1
304.09,312.25,1585.16,20.12,19.95,1
301.33,310.79,1207.7,27.62,19.99,0
300.16,309.63,1414.35,25.16,20.03,0
298.07,307.32,1337.58,24.82,20.1,0
300.18,311.77,1188.4,28.82,20.15,1
301.56,313.27,1434.79,22.15,20.21,0
302.53,312.96,1723.26,22.77,20.25,0
298.24,308.25,1442.7,21.28,20.29,0
300.47,312.45,1168.21,26.58,20.32,1
301.63,312.69,1624.01,24.72,20.36,0
303.72,316.36,1417.44,29.15,20.41,0
300.51,310.61,1206.68,29.14,20.47,0
298.92,309.2,1602.02,23.39,20.51,0
298.62,309.4,1549.03,22.59,20.55,0
299.29,308.58,1153.02,29.87,20.6,1
298.7,309.64,1655.91,23.44,20.66,0
301.65,309.88,1490.35,24.47,20.72,1
302.14,314.3,1082.67,29.75,20.76,1
301.45,313.24,1255.19,28.36,20.8,0
302.38,310.48,1149.75,29.42,20.85,1
299.09,304.98,1040.83,28.48,20.9,1
300.76,312.61,1191.29,28.27,20.95,1
299.23,310.81,1528.8,24.59,21.0,0
300.09,310.27,1586.13,24.15,21.06,0
302.45,314.89,1606.08,25.72,21.1,0
299.94,307.83,1456.21,25.91,21.17,1
296.27,304.67,1935.12,18.67,21.22,1
299.49,309.86,1021.32,28.58,21.27,1
298.57,309.85,1383.0,30.66,21.32,0
296.98,307.42,1326.33,24.45,21.36,0
298.42,309.02,1700.5,20.69,21.42,0
301.92,312.3,1243.67,26.15,21.46,0
303.36,314.2,836.54,33.34,21.52,1
299.02,309.71,1065.61,28.9,21.55,1
302.01,309.59,994.5,28.1,21.6,1
302.36,312.04,1758.71,21.22,21.62,0
297.68,308.14,1442.55,23.38,21.65,0
299.92,309.97,1584.08,26.69,21.7,0
299.91,309.71,942.82,31.13,21.74,1
300.34,310.94,1379.29,27.46,21.78,0
296.81,303.36,1039.06,30.25,21.84,1
299.3,309.15,1916.76,22.73,21.9,1
302.12,315.37,1209.9,27.28,21.94,0
302.52,312.13,651.03,35.79,22.0,1
303.66,315.32,1228.64,24.69,22.04,0
299.32,313.44,1227.36,27.62,22.1,0
303.74,312.52,1789.67,22.38,22.16,0
301.33,311.69,1082.64,29.93,22.2,1
297.28,308.48,1285.22,29.11,22.25,0
301.52,309.78,1726.07,21.13,22.3,1
299.3,307.4,1472.57,21.97,22.36,1
301.04,310.33,1291.47,30.98,22.4,0
299.79,310.52,1734.05,22.84,22.45,0
302.42,311.84,1622.07,23.22,22.5,0
300.51,312.63,1734.35,19.52,22.54,0
299.43,308.55,1486.01,25.75,22.59,0
301.93,310.82,1859.61,22.14,22.65,1
300.51,311.29,1903.81,18.1,22.68,1
299.17,309.47,1201.62,28.17,22.75,0
302.55,314.28,1482.62,22.65,22.8,0
299.18,308.88,1267.35,27.35,22.85,0
298.73,306.14,1357.8,25.14,22.89,1
298.92,308.94,1547.05,22.24,22.95,0
297.07,305.02,1324.91,25.99,23.02,1
298.89,310.3,1284.1,26.54,23.08,0
303.72,313.45,1743.46,22.52,23.13,0
298.18,306.08,1390.58,26.26,23.16,1
300.02,307.05,1959.57,16.42,23.22,1
297.78,306.71,1474.38,23.52,23.28,0
298.78,310.04,1392.87,28.12,23.34,0
303.04,312.28,1236.76,25.18,23.39,0
301.79,311.18,1335.4,27.84,23.44,0
298.78,309.22,1852.28,23.28,23.5,1
300.01,308.44,1280.5,26.74,23.54,1
298.35,309.95,1311.3,29.14,23.57,0
298.43,307.76,1251.81,26.55,23.64,0
298.17,308.85,1603.71,22.89,23.68,0
298.21,307.61,1231.95,26.92,23.74,0
300.65,311.09,1042.28,30.73,23.8,1
301.19,310.46,2115.63,20.42,23.83,1
300.98,315.67,913.17,29.03,23.89,1
299.66,312.37,1737.13,21.27,23.93,0
297.28,307.41,1026.74,26.85,23.99,1
299.87,309.85,1333.36,23.75,24.04,0
298.15,308.84,1541.15,24.45,24.1,0
301.76,309.73,1004.29,32.02,24.15,1
301.11,310.05,1295.72,29.15,24.19,0
301.49,311.62,1418.24,22.54,24.25,0
299.3,307.41,1419.55,27.02,24.3,1
296.38,303.57,1450.62,27.07,24.33,1
301.92,310.58,1374.08,28.13,24.38,0
302.45,311.33,1019.8,27.01,24.42,1
297.03,306.5,1168.06,27.28,24.47,1
300.28,309.54,1712.83,24.81,24.5,0
302.39,314.01,1675.61,21.73,24.56,0
297.85,307.87,1414.48,24.63,24.61,0
303.54,311.76,1113.16,28.33,24.65,1
299.3,310.84,1663.41,20.57,24.72,0
297.85,306.77,1357.79,25.35,24.77,0
302.74,313.38,2015.94,19.84,24.83,1
300.59,312.67,1078.89,28.19,24.88,1
298.69,309.16,1463.99,24.12,24.92,0
301.76,311.66,1282.27,24.19,24.96,0
296.09,308.92,1428.82,27.14,25.01,0
303.63,316.08,1471.39,22.53,25.05,0
298.37,310.29,1197.01,28.74,25.1,1
300.57,311.0,1046.94,28.07,25.16,1
299.2,307.27,1482.56,24.66,25.21,1
300.87,311.76,1803.97,25.85,25.25,1
301.78,310.84,1397.57,24.83,25.31,0
298.35,310.37,1223.6,27.18,25.38,0
301.57,315.03,1092.87,28.13,25.43,1
299.41,309.55,1530.17,23.54,25.47,0
298.62,310.05,1414.59,24.45,25.51,0
299.55,310.08,1451.03,25.4,25.56,0
297.99,307.99,1725.64,25.46,25.59,0
298.41,307.91,1165.72,26.65,25.62,1
301.9,310.63,1342.28,26.47,25.66,0
299.7,309.41,1407.1,23.17,25.71,0
302.28,311.98,1032.76,31.54,25.76,1
300.86,309.09,1742.85,23.58,25.81,1
297.95,308.65,1403.68,28.43,25.85,0
296.2,306.2,1471.04,27.52,25.9,0
298.63,309.09,1495.11,25.14,25.96,0
300.53,312.53,986.42,30.46,26.02,1
300.02,309.08,858.21,32.15,26.06,1
298.34,306.07,1366.02,27.4,26.1,1
302.03,310.82,1313.05,26.15,26.14,0
296.51,305.92,1057.29,31.21,26.18,1
297.48,309.57,1764.06,20.19,26.23,0
300.25,311.44,1401.25,24.14,26.28,0
304.39,316.18,1144.14,29.37,26.34,1
300.83,310.99,1126.25,29.04,26.39,1
297.99,309.25,1177.6,28.57,26.44,1
301.19,311.86,1152.9,25.27,26.5,1
301.37,307.74,1220.99,27.61,26.53,1
301.88,309.84,1380.82,24.04,26.59,1
299.18,311.99,1499.92,24.28,26.62,0
298.4,309.16,2028.47,19.12,26.67,1
300.24,311.22,1334.07,27.73,26.74,0
300.83,310.88,1854.94,21.86,26.78,1
303.2,311.21,1358.99,25.11,26.81,1
304.18,313.86,906.58,29.01,26.89,1
298.53,307.44,1960.46,17.95,26.94,1
298.95,310.12,1452.76,27.3,27.0,0
299.87,309.91,1246.18,27.66,27.06,0
299.5,308.72,1653.92,20.6,27.11,0
300.97,311.48,1152.7,26.73,27.15,1
300.97,308.4,1315.69,26.29,27.21,1
300.52,311.36,1940.68,21.1,27.25,1
302.69,313.9,995.1,33.89,27.31,1
299.68,310.75,1467.58,28.02,27.35,0
297.9,310.57,817.35,31.61,27.39,1
296.88,306.44,1686.61,24.4,27.44,0
297.94,309.44,1661.35,23.53,27.5,0
297.91,305.63,1724.57,18.95,27.55,1
296.23,307.9,1701.27,23.79,27.61,0
301.33,312.91,1574.78,20.49,27.68,0
300.37,309.21,1078.01,27.88,27.74,1
299.15,307.43,1462.01,23.56,27.79,1
298.22,308.9,1633.71,26.93,27.84,0
296.84,308.39,991.24,32.3,27.88,1
298.16,306.4,1292.93,25.8,27.92,1
303.7,313.76,1090.57,28.58,27.97,1
295.58,307.4,1012.07,30.74,28.02,1
300.28,309.55,944.34,30.12,28.07,1
301.49,312.71,1638.38,27.44,28.11,0
300.27,311.69,1582.89,25.76,28.16,0
299.37,309.59,1619.08,23.03,28.21,0
301.54,312.05,1611.69,26.25,28.27,0
297.79,308.69,1539.71,22.88,28.35,0
301.11,310.22,987.98,37.0,28.39,1
302.86,312.41,1350.34,24.31,28.43,0
297.92,307.24,2095.34,20.58,28.5,1
298.36,306.62,1648.27,25.41,28.54,1
300.27,313.34,1658.24,22.91,28.59,0
301.98,315.37,1655.26,20.27,28.65,0
302.68,314.99,1685.13,23.21,28.7,0
301.36,310.82,1141.62,27.94,28.77,1
298.66,309.2,1373.35,25.18,28.84,0
297.77,307.26,1435.24,26.7,28.89,0
300.49,311.82,1294.38,27.23,28.95,0
300.8,312.08,870.2,29.72,28.99,1
297.8,307.74,1303.13,24.66,29.02,0
300.12,311.67,1317.92,27.54,29.08,0
300.66,311.16,1253.33,28.19,29.12,0
302.09,312.71,1577.03,24.18,29.17,0
298.02,307.25,1388.18,23.79,29.24,0
301.11,311.95,1296.14,27.04,29.28,0
297.66,307.69,728.29,30.55,29.34,1
299.15,309.7,1147.11,29.72,29.38,1
299.84,311.19,1392.5,27.38,29.42,0
303.04,311.7,1156.46,24.63,29.47,1
306.63,316.45,1137.98,28.17,29.54,1
300.51,309.3,1459.25,25.98,29.59,0
300.99,311.59,933.06,32.46,29.64,1
302.02,312.61,1880.16,23.34,29.69,1
297.28,305.95,1023.91,31.74,29.73,1
301.53,312.76,1496.45,27.67,29.81,0
297.52,307.73,1847.62,22.04,29.85,1
303.26,315.12,1857.41,22.18,29.9,1
302.89,312.76,1430.88,27.58,29.97,0
301.0,310.53,1318.34,26.71,30.03,0
298.39,309.15,1560.94,20.51,30.08,0
303.34,314.79,1706.62,24.42,30.12,0
300.52,310.98,1525.71,27.69,30.18,0
300.22,307.51,2212.82,14.37,30.2,1
301.16,310.69,966.5,28.73,30.27,1
296.58,311.46,1129.54,28.72,30.32,1
300.86,311.75,813.35,30.63,30.38,1
301.99,311.22,1421.26,25.85,30.43,0
